id_lab,id,subset,no,requisitioner,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
F25-2120,CIAT-BR-19-5877,2,1950,Breeding,Urochloa interespecific,Grass,2.88,3.03,6.86,8.66,0.57,0.4,0.38,0.89,11.02,3196.67,9
F25-2121,CIAT-BR-19-6136,2,1953,Breeding,Urochloa interespecific,Grass,2.08,1.59,5.87,8.46,0.56,0.49,0.43,1.03,9.03,5072.31,9
F25-2122,ILRI-15551,2,719,LMF-invivo,Leucaena diversifolia,Shrub_Trees,3.66,4.46,9.8,8.73,0.87,0.72,0.34,0.88,7.07,1446.32,9
F25-2131,Muestra-#-02,3,89,LMF-invivo,Cynodon nlemfuensis,Grass,2.78,2.82,6.14,5.72,0.43,0.85,0.43,1.41,17.4,80.09,4
F25-2134,Hohenheimer-Heustandard-IAG-2025/1-S-1,3,1067,LMF,Hohenheimer Heustandard,,1.92,1.85,8.08,13.17,0.62,3.95,2.59,5.41,27.51,62.92,6
F25-2136,CIAT-6962-Mombaza-Ex,3,646,Benchmark,Megathyrsus maximus,Grass,0.73,2.06,4.26,4.05,0.28,0.36,3.49,5.87,17.99,87.24,6
F25-2137,CIAT-606-Basilisk-Opt,3,648,Benchmark,Urochloa interespecific,Grass,1.82,8.84,18.21,2.82,0.34,0.25,0.41,1.98,4.28,20.73,9
F25-2138,CIAT-6294-Marandu-Opt,3,651,Benchmark,Urochloa interespecific,Grass,1.66,3.72,7.68,17.89,0.95,0.33,0.25,1.47,14.69,70.66,9
F25-2139,CIAT-36087-MulatoII-Opt,3,654,Benchmark,Urochloa interespecific,Grass,0.94,2.02,4.11,5.25,0.33,0.33,0.23,0.86,6.28,30.53,8
F25-2140,CIAT-6133-Llanero-Opt,3,657,Benchmark,Urochloa humidicola,Grass,1.23,3.26,6.65,6.3,0.42,0.25,0.2,1.19,11.22,54.67,9
F25-2141,CIAT-6962-Mombaza-Opt,3,660,Benchmark,Megathyrsus maximus ,Grass,1.42,3.2,6.57,4.72,0.3,0.24,0.15,1.02,7.57,36.89,9
F25-2144,CIAT-BH-16-1763,2,2226,Breeding,Urochloa humidicola,Grass,1.87,3.03,9.95,4.23,0.36,0.61,0.46,1.99,5.58,75.24,9
F25-2145,CIAT-BH-16-B-2165,2,2229,Breeding,Urochloa humidicola,Grass,1.21,2.74,11.47,2.53,0.35,0.39,0.45,2.34,6.02,49.91,9
F25-2146,CIAT-BH-16-B-2167,2,2232,Breeding,Urochloa humidicola,Grass,2.21,4.28,4.33,6.23,0.4,0.25,0.29,0.52,7.19,191.93,9
F25-2147,CIAT-CIAT-16886,2,2235,Breeding,Urochloa humidicola,Grass,1.51,2.78,9.26,3.69,0.4,0.57,0.5,1.97,6.16,64.3,9
F25-2148,CIAT-CIAT-16891,2,2238,Breeding,Urochloa humidicola,Grass,1.11,3.09,11.2,5.51,0.53,0.31,0.42,2.05,7.43,146.96,9
F25-2149,CIAT-CIAT-26146,2,2241,Breeding,Urochloa humidicola,Grass,0.89,2.58,9.38,6.1,0.53,0.34,0.33,1.65,8.17,139.1,9
F25-2150,CIAT-CIAT-26149,2,2244,Breeding,Urochloa humidicola,Grass,0.69,2.88,9.59,5.69,0.49,0.24,0.32,1.69,7.37,139.62,9
F25-2151,CIAT-CIAT-26160,2,2247,Breeding,Urochloa humidicola,Grass,1.21,3.08,13.75,7.05,0.65,0.28,0.35,2.38,10.34,235.09,9
F25-2152,CIAT-CIAT-26415,2,2250,Breeding,Urochloa humidicola,Grass,0.78,2.04,12.75,4.76,0.55,0.15,0.27,2.02,8.13,174.37,9
F25-2153,CIAT-BH-22-4092,2,2253,Breeding,Urochloa humidicola,Grass,1.17,2.16,8.86,5.27,0.43,0.21,0.42,1.69,8.15,256.07,9
F25-2154,CIAT-CIAT-26438,2,2256,Breeding,Urochloa humidicola,Grass,0.89,4.18,10.38,9.73,0.62,0.4,0.56,2.26,19.28,992.7,7
F25-2155,CIAT-CIAT-26570,2,2259,Breeding,Urochloa humidicola,Grass,0.9,2.34,5.34,4.84,0.36,0.7,0.81,1.22,3.78,302.64,6
F25-2156,CIAT-BH-22-3115,2,2262,Breeding,Urochloa humidicola,Grass,1.03,3.76,7.48,8.81,0.53,0.31,0.4,1.44,17.17,1245.19,9
F25-2157,CIAT-BH-22-1375,2,2265,Breeding,Urochloa humidicola,Grass,1.14,2.53,12.83,8.79,0.53,0.35,0.55,2.65,14.45,1036.8,7
F25-2158,CIAT-CIAT-6133,2,2268,Breeding,Urochloa humidicola,Grass,1.38,1.92,9.16,9.19,0.69,0.25,0.35,1.43,17.69,1875.37,7
F25-2159,CIAT-CIAT-679,2,2271,Breeding,Urochloa humidicola,Grass,1.3,3.55,10.52,9.7,0.65,0.2,0.4,2.01,16.24,5794.74,6
F25-2160,CIAT-BH-22-4865,2,2276,Breeding,Urochloa humidicola,Grass,2.48,5.89,16.7,10.6,1.02,0.37,0.51,2.77,24.55,2782.13,8
F25-2161,CIAT-BH-22-1706,2,2280,Breeding,Urochloa humidicola,Grass,2.7,6.34,15.52,9.97,0.8,0.29,0.43,2.33,19.75,6803.16,6
F25-2162,CIAT-BH-22-4169,2,2282,Breeding,Urochloa humidicola,Grass,2.64,4.28,12.7,10.63,0.63,0.37,0.51,2.17,24.57,7999.38,8
F25-2163,CIAT-BH-22-1258,2,2285,Breeding,Urochloa humidicola,Grass,2.45,3.01,10.0,7.48,0.41,0.34,0.47,1.7,21.21,8748.1,9
F25-2164,CIAT-BH-22-1370,2,2288,Breeding,Urochloa humidicola,Grass,1.27,2.54,8.74,9.94,0.8,0.24,0.45,1.36,12.01,1933.17,7
F25-2165,CIAT-BH-22-2225,2,2291,Breeding,Urochloa humidicola,Grass,1.92,3.07,8.46,5.73,0.45,0.49,0.44,1.52,8.63,281.98,6
F25-2166,CIAT-BH-22-0528,4,1069,Breeding,Urochloa humidicola,Grass,1.33,2.1,4.23,5.01,0.26,0.42,0.27,0.86,6.89,0.21,7
F25-2167,CIAT-BH-22-3507,2,2297,Breeding,Urochloa humidicola,Grass,2.21,4.12,13.97,10.36,0.8,0.33,0.44,2.52,41.12,1727.6,8
F25-2168,CIAT-BH-22-4253,2,2302,Breeding,Urochloa humidicola,Grass,1.96,4.71,14.78,9.22,0.81,0.41,0.46,2.07,17.06,1081.84,6
F25-2169,CIAT-BH-22-2189,2,2303,Breeding,Urochloa humidicola,Grass,1.39,3.47,14.05,9.87,0.89,0.35,0.49,2.38,29.59,4517.88,9
F25-2170,CIAT-BH-22-0765,3,92,Breeding,Urochloa humidicola,Grass,4.97,4.68,9.63,5.23,0.25,0.24,0.19,1.49,5.53,26.91,5
F25-2171,CIAT-BH-22-2531,3,95,Breeding,Urochloa humidicola,Grass,5.0,3.93,8.85,17.38,0.87,0.26,0.23,1.25,15.79,76.15,7
F25-2172,CIAT-BH-22-0132,2,2312,Breeding,Urochloa humidicola,Grass,3.58,6.61,20.67,9.91,1.11,0.44,0.52,3.16,31.62,4212.04,6
F25-2173,CIAT-BH-22-3521,2,2316,Breeding,Urochloa humidicola,Grass,2.79,7.54,16.71,10.71,1.03,0.33,0.55,2.43,18.51,15383.57,6
F25-2174,CIAT-BH-22-2074,2,2583,Breeding,Urochloa humidicola,Grass,3.42,8.94,18.45,9.33,0.56,0.79,0.41,2.93,14.64,3359.27,9
F25-2175,CIAT-BH-22-0456,2,2586,Breeding,Urochloa humidicola,Grass,4.35,8.36,17.34,2.14,0.2,0.34,0.41,3.06,4.51,29.79,6
F25-2176,CIAT-BH-22-1832,2,2589,Breeding,Urochloa humidicola,Grass,3.55,4.61,9.39,11.19,0.65,0.34,0.4,2.0,28.83,760.66,7
F25-2177,CIAT-BH-22-1872,2,2592,Breeding,Urochloa humidicola,Grass,4.25,6.76,13.81,15.45,0.93,0.37,0.42,2.66,58.21,556.22,8
F25-2178,CIAT-BH-22-0071,2,2595,Breeding,Urochloa humidicola,Grass,2.96,5.03,10.33,2.66,0.24,0.37,0.54,2.27,4.87,71.21,6
F25-2179,CIAT-BH-22-4454,2,2598,Breeding,Urochloa humidicola,Grass,1.95,3.01,6.17,2.34,0.19,0.37,0.23,1.16,4.21,136.64,6
F25-2180,CIAT-BH-22-1267,2,2601,Breeding,Urochloa humidicola,Grass,3.41,5.32,10.92,3.72,0.13,0.39,0.38,2.08,2.58,164.52,6
F25-2181,CIAT-BH-22-1303,2,2604,Breeding,Urochloa humidicola,Grass,4.26,5.77,11.93,3.58,0.34,0.38,0.42,2.4,8.03,132.91,6
F25-2182,CIAT-BH-22-2508,2,2607,Breeding,Urochloa humidicola,Grass,4.17,5.53,11.28,10.43,0.72,0.41,0.45,2.23,25.54,1634.28,8
F25-2183,CIAT-BH-22-2046,2,2610,Breeding,Urochloa humidicola,Grass,3.91,5.76,11.87,9.41,0.63,0.37,0.4,2.25,28.14,850.99,7
F25-2184,CIAT-BH-22-0303,4,340,Genetic_bank,Urochloa humidicola,Grass,2.2,7.1,15.02,3.56,0.26,0.84,0.82,3.72,32.05,0.55,5
F25-2185,CIAT-BH-22-1594,4,342,Genetic_bank,Urochloa humidicola,Grass,2.94,8.18,17.21,8.71,0.39,0.52,0.62,3.65,15.88,2.15,6
F25-2186,CIAT-BH-22-0468,4,345,Genetic_bank,Urochloa humidicola,Grass,4.08,8.28,17.25,7.1,0.45,0.54,0.56,3.43,20.39,1.51,8
F25-2187,CIAT-BH-22-3830,4,348,Genetic_bank,Urochloa humidicola,Grass,3.04,7.19,15.0,7.87,0.29,0.38,0.49,3.06,10.4,1.99,6
F25-2188,CIAT-BH-22-1710,4,351,Genetic_bank,Urochloa humidicola,Grass,2.64,8.39,17.23,5.93,0.34,0.41,0.61,3.31,12.76,26.46,7
F25-2189,CIAT-BH-22-2365,4,354,Genetic_bank,Urochloa humidicola,Grass,2.52,6.15,12.72,6.16,0.37,0.44,0.47,2.69,12.26,1.21,5
F25-2190,CIAT-BH-22-3572,4,357,Genetic_bank,Urochloa humidicola,Grass,3.52,9.56,19.85,7.74,0.52,0.33,0.58,3.9,95.2,0.5,5
F25-2193,CIAT-BH-22-0521,4,366,Genetic_bank,Urochloa humidicola,Grass,4.91,18.64,65.25,1.71,72.74,14.79,4.88,4.5,80.75,11.37,7
F25-2566,Paja-Sabana-Madura,3,663,Benchmark,,Grass,0.51,0.77,1.66,1.52,0.25,0.67,0.43,0.22,6.13,28.35,7
F25-2567,Humidicola-679,3,666,Benchmark,Urochloa humidicola,Grass,0.69,2.27,4.91,3.58,0.3,0.4,0.19,0.69,12.96,59.75,8
F25-2568,Sabana-Quemada,3,774,Benchmark,,Grass,0.75,0.88,1.89,4.62,0.92,1.06,0.4,0.29,16.53,77.38,6
F25-2574,CIAT-326,4,369,Genetic_bank,Desmodium scorpiurus,Herbaceous_legumes,5.1,14.52,31.68,7.21,1.86,0.43,0.15,4.84,18.52,2.72,6
F25-2575,CIAT-415,4,377,Genetic_bank,Vigna radiata,Herbaceous_legumes,3.34,6.44,13.6,7.18,0.56,0.38,0.4,1.63,8.57,1.21,8
F25-2576,CIAT-416,4,380,Genetic_bank,Vigna radiata,Herbaceous_legumes,1.96,2.28,5.03,7.05,0.37,0.37,0.15,0.84,7.56,37.02,8
F25-2577,CIAT-517,4,383,Genetic_bank,Macroptilium atropurpureum,Herbaceous_legumes,1.42,4.31,9.43,6.39,0.44,0.23,0.26,1.16,9.21,0.14,8
F25-2578,CIAT-563,4,386,Genetic_bank,Macroptilium bracteatum,Herbaceous_legumes,1.48,1.95,4.2,6.48,0.41,0.52,0.34,0.64,10.55,2.24,8
F25-2579,CIAT-789,4,389,Genetic_bank,Zornia latifolia,Herbaceous_legumes,4.75,4.69,10.58,9.74,0.47,0.35,0.16,1.45,28.84,1.65,8
F25-2580,CIAT-2085,4,392,Genetic_bank,Stylosanthes seabrana,Herbaceous_legumes,2.43,3.1,6.74,2.61,0.18,0.32,0.22,0.81,5.05,0.39,6
F25-2581,CIAT-2690,4,395,Genetic_bank,Stylosanthes angustifolia,Herbaceous_legumes,2.12,3.73,8.18,8.11,0.47,0.57,0.34,0.92,33.7,0.89,8
F25-2582,CIAT-4069,4,398,Genetic_bank,Macroptilium atropurpureum,Herbaceous_legumes,1.74,2.12,4.58,9.58,0.68,0.33,0.32,0.78,20.37,0.43,8
F25-2583,CIAT-4141,4,401,Genetic_bank,Vigna radiata,Herbaceous_legumes,2.16,2.53,5.58,9.69,0.56,0.47,0.23,1.0,18.43,3.08,6
F25-2584,CIAT-4532,4,404,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,2.13,2.49,5.36,9.48,0.54,0.52,0.27,0.63,23.83,2.45,8
F25-2585,CIAT-4537,4,407,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,1.94,3.09,6.64,9.11,0.53,0.29,0.2,1.11,15.2,3.7,7
F25-2586,CIAT-7289,4,411,Genetic_bank,Chamaecrista mimosoides,Herbaceous_legumes,1.97,1.35,2.9,7.65,0.49,0.22,0.27,0.47,18.24,2.35,6
F25-2587,CIAT-7826,4,413,Genetic_bank,Tephrosia purpurea,Herbaceous_legumes,1.69,3.95,8.71,6.89,0.52,0.32,0.32,1.1,14.36,0.51,8
F25-2588,CIAT-8014,4,416,Genetic_bank,Crotalaria retusa,Herbaceous_legumes,3.17,3.41,7.48,7.63,0.38,0.34,0.25,0.75,6.9,5.31,7
F25-2589,CIAT-8849,4,419,Genetic_bank,Zornia brasiliensis,Herbaceous_legumes,1.68,2.52,5.57,5.98,0.39,0.34,0.18,0.85,11.38,0.53,8
F25-2590,CIAT-9326,4,422,Genetic_bank,Crotalaria retusa,Herbaceous_legumes,1.75,2.4,5.19,7.88,0.43,0.27,0.27,0.46,11.46,2.46,7
F25-2591,CIAT-9337,4,425,Genetic_bank,Crotalaria retusa,Herbaceous_legumes,1.09,2.99,6.48,9.84,0.53,0.09,0.15,0.81,11.51,1.11,6
F25-2592,CIAT-9350,4,428,Genetic_bank,Crotalaria pumila,Herbaceous_legumes,2.09,0.98,2.11,7.98,0.4,0.25,0.21,0.4,6.92,1.04,8
F25-2593,CIAT-9352,4,431,Genetic_bank,Crotalaria pumila,Herbaceous_legumes,2.12,2.53,5.39,7.16,0.42,0.26,0.22,0.91,9.74,11.82,8
F25-2594,CIAT-9472,4,434,Genetic_bank,Zornia brasiliensis,Herbaceous_legumes,2.12,3.47,7.51,8.85,0.74,0.2,0.18,1.27,19.05,0.21,7
F25-2595,CIAT-9531,4,437,Genetic_bank,Indigofera spicata,Herbaceous_legumes,1.74,2.57,5.59,5.44,0.38,0.19,0.34,0.86,5.91,1.3,7
F25-2596,CIAT-10026,4,440,Genetic_bank,Stylosanthes seabrana,Herbaceous_legumes,1.73,2.73,5.89,9.44,0.57,0.2,0.21,0.83,10.79,4.81,7
F25-2597,CIAT-12411,4,443,Genetic_bank,Stylosanthes sympodialis,Herbaceous_legumes,2.69,2.03,4.43,5.77,0.36,0.33,0.19,0.7,5.56,0.24,7
F25-2598,CIAT-13494,4,446,Genetic_bank,Desmodium tortuosum,Shrub_Trees,2.53,4.03,8.73,9.53,0.66,0.2,0.08,1.2,12.45,0.84,8
F25-2599,CIAT-13562,4,449,Genetic_bank,Desmodium tortuosum,Shrub_Trees,3.33,5.21,11.4,3.16,0.39,0.34,0.28,1.84,6.45,12.15,6
F25-2600,CIAT-13593,4,452,Genetic_bank,Desmodium scorpiurus,Herbaceous_legumes,2.49,4.29,9.48,9.58,0.7,0.38,0.23,1.6,39.35,2.55,6
F25-2601,CIAT-13608,4,455,Genetic_bank,Desmodium incanum,Herbaceous_legumes,2.62,3.84,8.3,5.69,0.52,0.39,0.27,1.24,13.36,1.2,6
F25-2602,CIAT-18277,4,458,Genetic_bank,Indigofera jamaicensis,Herbaceous_legumes,2.63,3.78,8.41,6.78,0.6,0.29,0.18,1.2,12.03,0.68,6
F25-2603,CIAT-18952,4,461,Genetic_bank,Indigofera atriceps,Herbaceous_legumes,1.49,2.72,6.01,9.54,0.99,0.44,0.23,0.91,21.31,0.08,6
F25-2604,CIAT-18953,4,783,Genetic_bank,Indigofera atriceps,Herbaceous_legumes,2.9,4.52,10.13,6.1,0.34,0.74,0.72,2.12,7.22,0.4,6
F25-2605,CIAT-18954,4,785,Genetic_bank,Indigofera atriceps,Herbaceous_legumes,3.51,4.2,9.0,9.21,0.63,0.96,0.63,1.86,9.42,0.49,7
F25-2606,CIAT-19198,4,788,Genetic_bank,Tephrosia villosa,Herbaceous_legumes,10.09,19.16,42.3,7.31,1.74,0.9,0.68,7.11,16.54,2.6,8
F25-2607,CIAT-19460,4,791,Genetic_bank,Sesbania cannabina,Shrub_Trees,5.08,5.66,12.41,8.3,0.42,0.63,0.54,2.74,24.01,0.31,6
F25-2608,CIAT-20044,4,794,Genetic_bank,Tephrosia purpurea,Herbaceous_legumes,4.78,10.81,23.43,8.22,0.66,0.85,0.27,3.96,8.01,3.24,8
F25-2609,CIAT-22423,4,797,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,5.73,6.05,13.32,7.85,0.36,0.67,0.68,3.1,5.25,0.51,7
F25-2610,CIAT-22480,4,800,Genetic_bank,Sesbania cannabina,Shrub_Trees,5.76,7.25,15.72,5.65,0.23,0.6,0.53,3.26,5.22,13.07,8
F25-2611,CIAT-23116,4,803,Genetic_bank,Desmodium tortuosum,Shrub_Trees,5.35,9.1,19.64,5.38,0.42,0.55,0.45,3.58,12.99,10.08,8
F25-2612,CIAT-23416,4,806,Genetic_bank,Codariocalyx motorius,Shrub_Trees,2.95,5.02,10.83,9.44,0.71,0.65,0.57,2.26,18.14,3.42,8
F25-2613,CIAT-23806,4,809,Genetic_bank,Desmodium angustifolium,Herbaceous_legumes,5.17,7.73,16.69,3.12,0.28,0.66,0.66,3.49,9.69,3.12,8
F25-2614,CIAT-24104,4,812,Genetic_bank,Macroptilium atropurpureum,Herbaceous_legumes,5.67,6.89,14.91,6.19,0.51,0.68,0.63,3.04,7.31,0.82,8
F25-2615,CIAT-24565,4,815,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,4.89,9.06,20.11,6.76,0.22,0.78,0.7,3.84,5.32,2.31,6
F25-2616,CIAT-33561,4,818,Genetic_bank,Desmodium wigginsii,Herbaceous_legumes,6.04,9.1,19.78,6.77,0.31,0.55,0.49,3.74,8.19,3.9,8
F25-2617,CIAT-34038,4,821,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,4.43,8.61,18.75,8.78,0.4,0.44,0.45,3.27,8.41,1.12,8
F25-2618,CIAT-34040,4,824,Genetic_bank,Vigna aconitifolia,Herbaceous_legumes,6.48,8.88,19.6,6.85,0.26,0.65,0.45,3.73,6.35,17.65,8
F25-2619,CIAT-34042,4,827,Genetic_bank,Vigna aconitifolia,Herbaceous_legumes,5.09,10.35,22.75,6.92,0.26,0.68,0.49,4.22,6.27,6.55,8
F25-2620,CIAT-34044,4,832,Genetic_bank,Vigna aconitifolia,Herbaceous_legumes,7.74,15.03,32.8,13.34,0.4,0.61,0.41,5.68,10.66,4.4,8
F25-2621,CIAT-34148,4,835,Genetic_bank,Vigna radiata,Herbaceous_legumes,5.13,11.34,25.27,9.35,0.45,0.57,0.29,4.03,11.14,39.55,8
F25-2622,CIAT-34159,4,838,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,5.01,8.48,18.75,8.33,0.44,0.59,0.55,3.65,11.18,2.11,8
F25-2623,CIAT-34347,4,841,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,6.41,8.53,19.1,8.84,0.19,0.6,0.8,3.91,2.28,1.77,6
F25-2624,CIAT-6294-Marandu-Exc,3,969,Benchmark,Urochloa interespecific,Grass,4.35,5.71,11.91,2.37,0.21,0.16,0.2,2.08,4.79,22.99,6
F25-2625,CIAT-36087-MulatoII-Exc,3,1080,Benchmark,Urochloa interespecific,Grass,0.5,1.32,2.72,1.4,0.04,0.21,0.1,0.2,0.88,4.26,3
F25-2626,CIAT-606-Basilisk-Exc,3,975,Benchmark,Urochloa interespecific,Grass,2.06,3.32,6.78,1.48,0.1,0.23,0.11,1.22,2.28,11.13,6
F25-2627,BR-02-1752-Cayman-Exc,3,978,Benchmark,Urochloa interespecific,Grass,3.31,2.62,5.46,2.42,0.19,0.26,0.21,1.01,3.29,15.89,6
F25-2628,BR-06-423-Cayman-Exc,3,981,Benchmark,Urochloa interespecific,Grass,3.67,5.8,12.06,2.53,0.28,0.37,0.22,1.98,4.68,22.58,6
F25-2629,CIAT-20692,3,984,Breeding,Clitoria ternatea ,Herbaceous_legumes,2.13,1.59,3.31,4.5,0.27,0.37,0.31,0.12,4.22,20.15,6
F25-2630,CIAT-20692,3,987,Breeding,Clitoria ternatea ,Herbaceous_legumes,2.87,12.64,26.96,2.25,0.31,0.23,0.1,4.56,8.99,42.16,6
