22_no,22_date,22_technician_name,22_set_ciat,22_sample_id,22_column4,22_column5,22_column6,22_column3,22_replication,22_peso_muestra_g,22_peso_residual_muestra_g,22_peso_total_muestra_g,22_hcl_ml,22_nitrogeno,22_proteina_cruda_percentage_n_x_6_25,22_pc_percentage_dm,22_av_pc_percentage
No,Date,Techincian name,Set CIAT,Sample ID,Column4,Column5,Column6,Column3,Replication,Peso muestra ( g),Peso residual muestra (g),Peso Total Muestra (g),HCl (ml)  ,Nitrogeno (%),Proteina cruda (%) N x 6.25 ,"PC (%), DM","Av PC, %"
150,,,5,F24 3610,ABC-BH16B_1707,Urochloa,humidicola,Brachiaria humidicola,B,,,,,,,5.966437759,
151,,,5,F24 3611,ABC-CIAT_16888,Urochloa,humidicola,Brachiaria humidicola,A,,,,,,,6.11164643,6.11164643
152,,,5,F24 3611,ABC-CIAT_16888,Urochloa,humidicola,Brachiaria humidicola,B,,,,,,,6.11164643,
153,,,5,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,A,1.0004,0.0003,1.0001,26.4,3.746091688,23.41307305,25.3469484,25.3469484
154,,,5,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,B,1.0004,0.0003,1.0001,26.4,3.746091688,23.41307305,25.3469484,
155,,,5,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,A,1.0004,0.0003,1.0001,18.8,2.663570896,16.6473181,17.95515598,17.95515598
156,,,5,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,B,1.0004,0.0003,1.0001,18.8,2.663570896,16.6473181,17.95515598,
157,,,5,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,A,1.0006,0.0006,1,23.7,3.361848084,21.01155053,22.62704069,22.62704069
158,,,5,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,B,1.0006,0.0006,1,23.7,3.361848084,21.01155053,22.62704069,
159,,,5,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,A,1.0004,0.0002,1.0002,18.9,2.677546863,16.73466789,17.94095507,17.94095507
160,,,5,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,B,1.0004,0.0002,1.0002,18.9,2.677546863,16.73466789,17.94095507,
161,,,5,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,A,1.0003,0.0003,1,22.9,3.247887132,20.29929458,22.08537556,22.08537556
162,,,5,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,B,1.0003,0.0003,1,22.9,3.247887132,20.29929458,22.08537556,
163,,,5,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,A,1.0003,0.0003,1,26.4,3.746466297,23.41541436,25.72120617,25.72120617
164,,,5,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,B,1.0003,0.0003,1,26.4,3.746466297,23.41541436,25.72120617,
165,,,5,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,A,1.0006,0.0006,1,26.6,3.774956535,23.59347834,25.77536281,25.77536281
166,,,5,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,B,1.0006,0.0006,1,26.6,3.774956535,23.59347834,25.77536281,
167,,,5,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,A,1.0004,0.0002,1.0002,18,2.549366428,15.93354017,17.21944618,17.21944618
168,,,5,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,B,1.0004,0.0002,1.0002,18,2.549366428,15.93354017,17.21944618,
169,,,5,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,A,1.0006,0.0002,1.0004,33,4.684770243,29.27981402,31.82560604,31.82560604
170,,,5,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,B,1.0006,0.0002,1.0004,33,4.684770243,29.27981402,31.82560604,
171,,,5,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,A,1.0006,0.0006,1,24.9,3.532789512,22.07993445,23.8828974,23.8828974
172,,,5,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,B,1.0006,0.0006,1,24.9,3.532789512,22.07993445,23.8828974,
173,,,5,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,A,1.0005,0.0004,1.0001,21.7,3.07663804,19.22898775,21.51684891,21.51684891
174,,,5,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,B,1.0005,0.0004,1.0001,21.7,3.07663804,19.22898775,21.51684891,
175,,,5,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,A,1.0003,0.0003,1,25.9,3.675240702,22.97025439,24.9715208,24.9715208
176,,,5,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,B,1.0003,0.0003,1,25.9,3.675240702,22.97025439,24.9715208,
177,,,5,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,A,1.0002,0,1.0002,27.4,3.888139859,24.30087412,26.36670549,26.36670549
178,,,5,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,B,1.0002,0,1.0002,27.4,3.888139859,24.30087412,26.36670549,
179,,,5,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,A,1.0005,0.0005,1,23.8,3.376093203,21.10058252,22.49012437,22.49012437
180,,,5,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,B,1.0005,0.0005,1,23.8,3.376093203,21.10058252,22.49012437,
181,,,5,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,A,1.0003,0.0003,1,22.9,3.247887132,20.29929458,22.07736189,22.07736189
182,,,5,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,B,1.0003,0.0003,1,22.9,3.247887132,20.29929458,22.07736189,
183,,,5,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
184,,,5,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
185,,,5,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
186,,,5,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
187,,,5,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
188,,,5,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
189,,,6,F24 3441,ABC-7714-1,Alysicarpus,glumaceus,Alysicarpus glumaceus,A,1.0003,0.0003,1,22.9,3.247887132,20.29929458,21.81506189,21.04962113
190,,,6,F24 3441,ABC-7714-1,Alysicarpus,glumaceus,Alysicarpus glumaceus,B,1.0006,0.0006,1,21.3,3.019965228,18.87478268,20.28418036,
191,,,6,F24 3442,ABC-7757-1,Clitoria,ternatea,Clitoria ternatea,A,1.0006,0.0006,1,21.3,3.019965228,18.87478268,20.48925605,22.6154996
192,,,6,F24 3442,ABC-7757-1,Clitoria,ternatea,Clitoria ternatea,B,1.0004,0.0004,1,25.7,3.646750464,22.7921904,24.74174315,
193,,,6,F24 3443,ABC-7759-1,Clitoria,ternatea,Clitoria ternatea,A,1.0004,0.0004,1,25.7,3.646750464,22.7921904,24.36583118,20.41590152
194,,,6,F24 3443,ABC-7759-1,Clitoria,ternatea,Clitoria ternatea,B,1.0004,0.0004,1,17.4,2.464405587,15.40253492,16.46597185,
195,,,6,F24 3444,ABC-7790-1,Crotalaria,pallida,Crotalaria pallida,A,1.0004,0.0004,1,17.4,2.464405587,15.40253492,16.72167743,22.0861462
196,,,6,F24 3444,ABC-7790-1,Crotalaria,pallida,Crotalaria pallida,B,1.0003,0.0003,1,28.5,4.045613796,25.28508623,27.45061497,
197,,,6,F24 3445,ABC-7792-1,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,A,1.0003,0.0003,1,28.5,4.045613796,25.28508623,27.22443596,23.63066193
198,,,6,F24 3445,ABC-7792-1,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,B,1,0.0001,0.9999,21,2.977527624,18.60954765,20.0368879,
199,,,6,F24 3446,ABC-7816-1,Indigofera,spicata,Indigofera spicata,A,1,0.0001,0.9999,21,2.977527624,18.60954765,20.11818757,24.06341709
200,,,6,F24 3446,ABC-7816-1,Indigofera,spicata,Indigofera spicata,B,1.0004,0.0004,1,29.2,4.145329629,25.90831018,28.00864661,
201,,,6,F24 3447,ABC-7858-1,Crotalaria,incana,Crotalaria incana,A,1.0004,0.0004,1,29.2,4.145329629,25.90831018,27.81204464,29.43059343
202,,,6,F24 3447,ABC-7858-1,Crotalaria,incana,Crotalaria incana,B,1.0005,0.0001,1.0004,32.6,4.62781255,28.92382844,31.04914222,
203,,,6,F24 3448,ABC-7972-1,Canavalia,brasiliensis,Canavalia brasiliensis,A,1.0005,0.0001,1.0004,32.6,4.62781255,28.92382844,31.48000483,29.01401583
204,,,6,F24 3448,ABC-7972-1,Canavalia,brasiliensis,Canavalia brasiliensis,B,1.0005,0.0004,1.0001,27.5,3.902772329,24.39232705,26.54802683,
205,,,6,F24 3449,ABC-8205-1,Indigofera,suffruticosa,Indigofera suffruticosa,A,1.0005,0.0004,1.0001,27.5,3.902772329,24.39232705,26.44871462,25.335008
206,,,6,F24 3449,ABC-8205-1,Indigofera,suffruticosa,Indigofera suffruticosa,B,1.0004,0,1.0004,25.2,3.574095231,22.33809519,24.22130138,
207,,,6,F24 3450,ABC-8402-1,Indigofera,suffruticosa,Indigofera suffruticosa,A,1.0004,0,1.0004,25.2,3.574095231,22.33809519,24.27789935,25.58233898
208,,,6,F24 3450,ABC-8402-1,Indigofera,suffruticosa,Indigofera suffruticosa,B,1.0005,0,1.0005,27.9,3.958164,24.738525,26.88677861,
209,,,6,F24 3451,ABC-8408-1,Chamaecrista,nictitans,Chamaecrista nictitans,A,1.0005,0,1.0005,27.9,3.958164,24.738525,26.31287847,24.85046879
210,,,6,F24 3451,ABC-8408-1,Chamaecrista,nictitans,Chamaecrista nictitans,B,1.0001,0,1.0001,24.8,3.518192574,21.98870359,23.38805912,
211,,,6,F24 3452,ABC-8409-1,Chamaecrista,nictitans,Chamaecrista nictitans,A,1.0001,0,1.0001,24.8,3.518192574,21.98870359,23.91713839,25.85235955
212,,,6,F24 3452,ABC-8409-1,Chamaecrista,nictitans,Chamaecrista nictitans,B,1.0005,0.0003,1.0002,28.8,4.087531647,25.54707279,27.78758071,
213,,,6,F24 3453,ABC-8719-1,Canavalia,sp.,Canavalia sp.,A,1.0005,0.0003,1.0002,28.8,4.087531647,25.54707279,27.31500964,23.79660353
214,,,6,F24 3453,ABC-8719-1,Canavalia,sp.,Canavalia sp.,B,1.0004,0.0005,0.9999,21.4,3.034513798,18.96571124,20.27819741,
215,,,6,F24 3454,ABC-8797-1,Desmanthus,virgatus,Desmanthus virgatus,A,1.0004,0.0005,0.9999,21.4,3.034513798,18.96571124,20.40453153,23.1295439
216,,,6,F24 3454,ABC-8797-1,Desmanthus,virgatus,Desmanthus virgatus,B,1.0003,0,1.0003,27.1,3.845028621,24.03142888,25.85455626,
217,,,6,F24 3455,ABC-8819-1,Coursetia,caribaea,Coursetia caribaea,A,1.0003,0,1.0003,27.1,3.845028621,24.03142888,26.18410142,24.00645742
218,,,6,F24 3455,ABC-8819-1,Coursetia,caribaea,Coursetia caribaea,B,1.0005,0.0006,0.9999,22.6,3.205472322,20.03420201,21.82881342,
219,,,6,F24 3456,ABC-9170-1,Indigofera,lespedezioides,Indigofera lespedezioides,A,1.0005,0.0006,0.9999,22.6,3.205472322,20.03420201,21.52108571,20.75389269
220,,,6,F24 3456,ABC-9170-1,Indigofera,lespedezioides,Indigofera lespedezioides,B,1.0004,0.0003,1.0001,21,2.976932178,18.60582611,19.98669966,
221,,,6,F24 3457,ABC-9254-1,Crotalaria,pallida,Crotalaria pallida,A,1.0004,0.0003,1.0001,21,2.976932178,18.60582611,20.48504618,24.64778486
222,,,6,F24 3457,ABC-9254-1,Crotalaria,pallida,Crotalaria pallida,B,1.0006,0.0003,1.0003,29.5,4.186808943,26.1675559,28.81052353,
223,,,6,F24 3458,ABC-9283-1,Crotalaria,pallida,Crotalaria pallida,A,1.0006,0.0003,1.0003,29.5,4.186808943,26.1675559,28.1974698,25.55766027
224,,,6,F24 3458,ABC-9283-1,Crotalaria,pallida,Crotalaria pallida,B,1.0006,0.0001,1.0005,24,3.402882,21.2680125,22.91785074,
225,,,6,F24 3459,ABC-9288-1,Indigofera,suffruticosa,Indigofera suffruticosa,A,1.0006,0.0001,1.0005,24,3.402882,21.2680125,22.68467015,27.5825287
226,,,6,F24 3459,ABC-9288-1,Indigofera,suffruticosa,Indigofera suffruticosa,B,1.0002,0.0003,0.9999,34.3,4.87231793,30.45198706,32.48038724,
227,,,6,F24 3460,ABC-9336-1,Clitoria,ternatea,Clitoria ternatea,A,1.0002,0.0003,0.9999,34.3,4.87231793,30.45198706,33.6886583,31.6648623
228,,,6,F24 3460,ABC-9336-1,Clitoria,ternatea,Clitoria ternatea,B,1.0004,0.0002,1.0002,30.2,4.286923434,26.79327146,29.64106629,
229,,,6,F24 3461,ABC-9349-1,Mucuna,pruriens,Mucuna pruriens,A,1.0004,0.0002,1.0002,30.2,4.286923434,26.79327146,29.30719938,30.38137152
230,,,6,F24 3461,ABC-9349-1,Mucuna,pruriens,Mucuna pruriens,B,1.0004,0.0004,1,32.4,4.601173437,28.75733398,31.45554367,
231,,,6,F24 3462,ABC-9356-1,Tephrosia,noctiflora,Tephrosia noctiflora,A,1.0004,0.0004,1,32.4,4.601173437,28.75733398,30.91120176,30.62410081
232,,,6,F24 3462,ABC-9356-1,Tephrosia,noctiflora,Tephrosia noctiflora,B,1.0004,0.0004,1,31.8,4.515702723,28.22314202,30.33699987,
233,,,6,F24 3463,ABC-9432-1,Clitoria,ternatea,Clitoria ternatea,A,1.0004,0.0004,1,31.8,4.515702723,28.22314202,30.91952213,31.25458694
234,,,6,F24 3463,ABC-9432-1,Clitoria,ternatea,Clitoria ternatea,B,1.0004,0,1.0004,32.5,4.613573127,28.83483204,31.58965175,
235,,,6,F24 3464,ABC-9433-1,Clitoria,ternatea,Clitoria ternatea,A,1.0004,0,1.0004,32.5,4.613573127,28.83483204,30.58656643,31.6787523
236,,,6,F24 3464,ABC-9433-1,Clitoria,ternatea,Clitoria ternatea,B,1.0003,0.0003,1,34.8,4.943056293,30.89410183,32.77093817,
237,,,6,F24 3465,ABC-9435-1,Desmanthus,pubescens,Desmanthus pubescens,A,1.0005,0.0003,1.0002,28.6,4.059047106,25.36904441,26.8210407,26.77532246
238,,,6,F24 3465,ABC-9435-1,Desmanthus,pubescens,Desmanthus pubescens,B,1.0005,0.0004,1.0001,28.5,4.045209275,25.28255797,26.72960421,
239,,,6,F24 3466,ABC-9530-1,Crotalaria,maypurensis,Crotalaria maypurensis,A,1.0002,0.0004,0.9998,34.3,4.872805259,30.45503287,32.65498846,32.65498846
240,,,6,F24 3466,ABC-9530-1,Crotalaria,maypurensis,Crotalaria maypurensis,B,1.0002,0.0004,0.9998,34.3,4.872805259,30.45503287,32.65498846,
241,,,6,F24 3467,ABC-9562-1,Eriosema,diffusum,Eriosema diffusum,A,1.0002,0.0003,0.9999,19.2,2.721089838,17.00681149,18.10554432,18.10554432
242,,,6,F24 3467,ABC-9562-1,Eriosema,diffusum,Eriosema diffusum,B,1.0002,0.0003,0.9999,19.2,2.721089838,17.00681149,18.10554432,
243,,,6,F24 3468,ABC-9982-1,Crotalaria,incana,Crotalaria incana,A,1.0004,0.0004,1,28.4,4.031368677,25.19605423,26.85672385,26.85672385
244,,,6,F24 3468,ABC-9982-1,Crotalaria,incana,Crotalaria incana,B,1.0004,0.0004,1,28.4,4.031368677,25.19605423,26.85672385,
245,,,6,F24 3469,ABC-10647-1,Stylosanthes,scabra,Stylosanthes scabra,A,1.0004,0,1.0004,21,2.976039455,18.6002466,20.01579809,20.01579809
246,,,6,F24 3469,ABC-10647-1,Stylosanthes,scabra,Stylosanthes scabra,B,1.0004,0,1.0004,21,2.976039455,18.6002466,20.01579809,
247,,,6,F24 3470,ABC-11194-1,Stylosanthes,hamata,Stylosanthes hamata,A,1.0003,0.0002,1.0001,22.2,3.147856513,19.67410321,21.17967693,21.17967693
248,,,6,F24 3470,ABC-11194-1,Stylosanthes,hamata,Stylosanthes hamata,B,1.0003,0.0002,1.0001,22.2,3.147856513,19.67410321,21.17967693,
249,,,6,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
250,,,6,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
251,,,6,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
252,,,6,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
253,,,6,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
254,,,6,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,B,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
255,,,7,F24 3471,ABC-11999-1,Stylosanthes,guianensis,Stylosanthes guianensis,A,1.0005,0.0004,1.0001,21.2,3.005419567,18.78387229,20.08914589,20.08914589
256,,,7,F24 3471,ABC-11999-1,Stylosanthes,guianensis,Stylosanthes guianensis,B,1.0005,0.0004,1.0001,21.2,3.005419567,18.78387229,20.08914589,
257,,,7,F24 3472,ABC-12318-1,Stylosanthes,hamata,Stylosanthes hamata,A,1.0004,0.0006,0.9998,23.4,3.319776682,20.74860426,22.04897357,22.04897357
258,,,7,F24 3472,ABC-12318-1,Stylosanthes,hamata,Stylosanthes hamata,B,1.0004,0.0006,0.9998,23.4,3.319776682,20.74860426,22.04897357,
259,,,7,F24 3473,ABC-13575-1,Desmodium,incanum,Desmodium incanum,A,1.0005,0.0004,1.0001,24.6,3.489705184,21.8106574,23.16919124,23.16919124
260,,,7,F24 3473,ABC-13575-1,Desmodium,incanum,Desmodium incanum,B,1.0005,0.0004,1.0001,24.6,3.489705184,21.8106574,23.16919124,
261,,,7,F24 3474,ABC-13609-1,Desmodium,incanum,Desmodium incanum,A,1.0005,0.0003,1.0002,21.1,2.990876815,18.69298009,20.01347066,20.01347066
262,,,7,F24 3474,ABC-13609-1,Desmodium,incanum,Desmodium incanum,B,1.0005,0.0003,1.0002,21.1,2.990876815,18.69298009,20.01347066,
263,,,7,F24 3475,ABC-15551-1,Centrosema,molle,Centrosema molle,A,1.0006,0.0004,1.0002,23.6,3.346933578,20.91833486,22.31266675,22.31266675
264,,,7,F24 3475,ABC-15551-1,Centrosema,molle,Centrosema molle,B,1.0006,0.0004,1.0002,23.6,3.346933578,20.91833486,22.31266675,
265,,,7,F24 3476,ABC-17024-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,A,1.0004,0.0002,1.0002,25.7,3.64602126,22.78763287,24.6266959,24.6266959
266,,,7,F24 3476,ABC-17024-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,B,1.0004,0.0002,1.0002,25.7,3.64602126,22.78763287,24.6266959,
267,,,7,F24 3477,ABC-17091-1,Crotalaria,micans,Crotalaria micans,A,1.0004,0.0002,1.0002,26,3.688748071,23.05467545,24.38060094,24.38060094
268,,,7,F24 3477,ABC-17091-1,Crotalaria,micans,Crotalaria micans,B,1.0004,0.0002,1.0002,26,3.688748071,23.05467545,24.38060094,
269,,,7,F24 3478,ABC-17365-1,Clitoria,ternatea,Clitoria ternatea,A,1.0004,0.0002,1.0002,33.8,4.799645174,29.99778234,32.12201646,32.12201646
270,,,7,F24 3478,ABC-17365-1,Clitoria,ternatea,Clitoria ternatea,B,1.0004,0.0002,1.0002,33.8,4.799645174,29.99778234,32.12201646,
271,,,7,F24 3479,ABC-17451-1,Canavalia,sp.,Canavalia sp.,A,1.0006,0.0005,1.0001,23.1,3.276049765,20.47531103,22.34228589,22.34228589
272,,,7,F24 3479,ABC-17451-1,Canavalia,sp.,Canavalia sp.,B,1.0006,0.0005,1.0001,23.1,3.276049765,20.47531103,22.34228589,
273,,,7,F24 3480,ABC-17775-1,Christia,obcordata,Christia obcordata,A,1.0003,0.0003,1,17.1,2.42167023,15.13543894,16.04996893,16.04996893
274,,,7,F24 3480,ABC-17775-1,Christia,obcordata,Christia obcordata,B,1.0003,0.0003,1,17.1,2.42167023,15.13543894,16.04996893,
275,,,7,F24 3481,ABC-18016-1,Sesbania,emerus,Sesbania emerus,A,1.0006,0.0004,1.0002,25.4,3.603294448,22.5205903,24.15784219,24.15784219
276,,,7,F24 3481,ABC-18016-1,Sesbania,emerus,Sesbania emerus,B,1.0006,0.0004,1.0002,25.4,3.603294448,22.5205903,24.15784219,
277,,,7,F24 3482,ABC-18044-1,Christia,sp.,Christia sp.,A,1.0003,0,1.0003,22.2,3.147227131,19.67016957,21.00012874,21.00012874
278,,,7,F24 3482,ABC-18044-1,Christia,sp.,Christia sp.,B,1.0003,0,1.0003,22.2,3.147227131,19.67016957,21.00012874,
279,,,7,F24 3483,ABC-18288-1,Sesbania,exasperata,Sesbania exasperata,A,1.0006,0.0002,1.0004,24.3,3.445940422,21.53712764,23.18028169,23.18028169
280,,,7,F24 3483,ABC-18288-1,Sesbania,exasperata,Sesbania exasperata,B,1.0006,0.0002,1.0004,24.3,3.445940422,21.53712764,23.18028169,
281,,,7,F24 3484,ABC-18447-1,Clitoria,ternatea,Clitoria ternatea,A,1.0005,0.0005,1,30.8,4.373251533,27.33282208,29.41115131,29.41115131
282,,,7,F24 3484,ABC-18447-1,Clitoria,ternatea,Clitoria ternatea,B,1.0005,0.0005,1,30.8,4.373251533,27.33282208,29.41115131,
283,,,7,F24 3485,ABC-18455-1,Christia,obcordata,Christia obcordata,A,1.0005,0.0002,1.0003,22.9,3.246913058,20.29320661,21.77303294,21.77303294
284,,,7,F24 3485,ABC-18455-1,Christia,obcordata,Christia obcordata,B,1.0005,0.0002,1.0003,22.9,3.246913058,20.29320661,21.77303294,
285,,,7,F24 3486,ABC-18707-1,Crotalaria,pallida,Crotalaria pallida,A,1.0001,0,1.0001,39.2,5.569284601,34.80802875,37.49811369,37.49811369
286,,,7,F24 3486,ABC-18707-1,Crotalaria,pallida,Crotalaria pallida,B,1.0001,0,1.0001,39.2,5.569284601,34.80802875,37.49811369,
287,,,7,F24 3487,ABC-18749-1,Arachis,pintoi,Arachis pintoi,A,1.0001,0,1.0001,22.1,3.133612819,19.58508012,21.12793945,21.12793945
288,,,7,F24 3487,ABC-18749-1,Arachis,pintoi,Arachis pintoi,B,1.0001,0,1.0001,22.1,3.133612819,19.58508012,21.12793945,
289,,,7,F24 3488,ABC-18813-1,Crotalaria,nitens,Crotalaria nitens,A,1.0004,0.0002,1.0002,17.8,2.520881887,15.75551179,17.16342238,17.16342238
290,,,7,F24 3488,ABC-18813-1,Crotalaria,nitens,Crotalaria nitens,B,1.0004,0.0002,1.0002,17.8,2.520881887,15.75551179,17.16342238,
291,,,7,F24 3489,ABC-18848-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,1.0002,0.0002,1,21.3,3.019965228,18.87478268,19.98876765,19.98876765
292,,,7,F24 3489,ABC-18848-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,1.0002,0.0002,1,21.3,3.019965228,18.87478268,19.98876765,
293,,,7,F24 3490,ABC-18862-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,1.0004,0.0001,1.0003,25.8,3.659897614,22.87436009,24.57881528,24.57881528
294,,,7,F24 3490,ABC-18862-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,1.0004,0.0001,1.0003,25.8,3.659897614,22.87436009,24.57881528,
295,,,7,F24 3491,ABC-18931-1,Tephrosia,linearis,Tephrosia linearis,A,1.0005,0.0005,1,30.1,4.2735357,26.70959813,28.55552953,28.55552953
296,,,7,F24 3491,ABC-18931-1,Tephrosia,linearis,Tephrosia linearis,B,1.0005,0.0005,1,30.1,4.2735357,26.70959813,28.55552953,
297,,,7,F24 3492,ABC-19038-1,Canavalia,sp.,Canavalia sp.,A,1.0005,0,1.0005,24.2,3.431358,21.4459875,23.78356078,23.78356078
298,,,7,F24 3492,ABC-19038-1,Canavalia,sp.,Canavalia sp.,B,1.0005,0,1.0005,24.2,3.431358,21.4459875,23.78356078,
299,,,7,F24 3493,ABC-19118-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,1.0005,0.0003,1.0002,23.9,3.38966039,21.18537744,22.79950205,22.79950205
300,,,7,F24 3493,ABC-19118-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,1.0005,0.0003,1.0002,23.9,3.38966039,21.18537744,22.79950205,
301,,,7,F24 3494,ABC-19127-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,1.0003,0.0003,1,20.3,2.877514038,17.98446274,19.49502682,19.49502682
302,,,7,F24 3494,ABC-19127-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,1.0003,0.0003,1,20.3,2.877514038,17.98446274,19.49502682,
303,,,7,F24 3495,ABC-19128-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,1.0005,0.0001,1.0004,17.9,2.534617335,15.84135834,17.09154173,17.09154173
304,,,7,F24 3495,ABC-19128-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,1.0005,0.0001,1.0004,17.9,2.534617335,15.84135834,17.09154173,
305,,,7,F24 3496,ABC-19129-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,1.0005,0.0005,1,18.8,2.663837253,16.64898283,17.81459969,17.81459969
306,,,7,F24 3496,ABC-19129-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,1.0005,0.0005,1,18.8,2.663837253,16.64898283,17.81459969,
307,,,7,F24 3497,ABC-19133-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,1.0004,0.0003,1.0001,18.4,2.606596117,16.29122573,17.49348196,17.49348196
308,,,7,F24 3497,ABC-19133-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,1.0004,0.0003,1.0001,18.4,2.606596117,16.29122573,17.49348196,
309,,,7,F24 3498,ABC-19137-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,1.0003,0,1.0003,19.2,2.720001728,17.0000108,18.129116,18.129116
310,,,7,F24 3498,ABC-19137-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,1.0003,0,1.0003,19.2,2.720001728,17.0000108,18.129116,
311,,,7,F24 3499,ABC-19138-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,1.0003,0,1.0003,22.3,3.161467978,19.75917486,21.31731707,21.31731707
312,,,7,F24 3499,ABC-19138-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,1.0003,0,1.0003,22.3,3.161467978,19.75917486,21.31731707,
313,,,7,F24 3500,ABC-19139-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,A,1.0003,0.0003,1,19.8,2.806288443,17.53930277,18.53940369,18.53940369
